"title","date","link"
"Microsoft Office 365 ProPlus STIG - Ver 2, Rel 11 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Office_365_ProPlus_V2R11_STIG.zip"
"Mozilla Firefox Linux STIG Benchmark - Ver 6, Rel 4 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MOZ_Firefox_Linux_V6R4_STIG_SCAP_1-2_Benchmark.zip"
"Sunset - VMware vRealize Automation 7.x STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vRealize_Automation_7-x_Y23M10_STIG.zip"
"Apple macOS 13 (Ventura) STIG - Ver 1, Rel 3 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apple_macOS_13_V1R3_STIG.zip"
"Sunset - VMware vRealize Ops 6.x STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vRealize_Ops_6-x_Y23M10_STIG.zip"
"SUSE Linux Enterprise Server 15 STIG - Ver 1, Rel 11 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SLES_15_V1R11_STIG.zip"
"SUSE Linux Enterprise Server 12 STIG - Ver 2, Rel 12 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SLES_12_V2R12_STIG.zip"
"Network WLAN STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Network_WLAN_Y23M10_STIG.zip"
"Sunset - VMware vRealize Operations Manager Cassandra STIG - Ver 1, Rel 2 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vRealize_Ops_Mgr_Cassandra_V1R2_STIG.zip"
"Splunk Enterprise 8.x for Linux STIG - Ver 1, Rel 5 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Splunk_Enterprise_8-x_for-Linux_V1R5_STIG.zip"
"SUSE Linux Enterprise Server 15 for Ansible - Ver 1, Rel 11 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SLES15_V1R11_STIG_Ansible.zip"
"MS SQL Server 2016 STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_SQL_Server_2016_Y23M10_STIG.zip"
"Microsoft Exchange 2016 STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Exchange_2016_Y23M10_STIG.zip"
"Canonical Ubuntu 18.04 LTS STIG - Ver 2, Rel 12 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CAN_Ubuntu_18-04_LTS_V2R12_STIG.zip"
"Microsoft IIS 10.0 STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_IIS_10-0_Y23M10_STIG.zip"
"Mozilla Firefox Windows STIG Benchmark - Ver 6, Rel 5 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MOZ_Firefox_Windows_V6R5_STIG_SCAP_1-2_Benchmark.zip"
"Microsoft Edge STIG Benchmark - Ver 1, Rel 3 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Edge_V1R3_STIG_SCAP_1-2_Benchmark.zip"
"Apple iOS/iPadOS 17 STIG - Ver 1, Rel 1 ","2023-10-16","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apple_iOS-iPadOS_17_V1R1_STIG.zip"
"Google Android 14 STIG ","2023-10-12","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Google_Android_14_Y23M10_STIG.zip"
"Red Hat Enterprise Linux 9 STIG - Ver 1, Rel 1 ","2023-10-11","https://dl.dod.cyber.mil/wp-content/uploads/stigs/U_RHEL_9_V1R1_STIG.zip"
"Google Android 13 BYOAD STIG ","2023-10-11","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Google_Android_13_BYOAD_Y23M10_STIG.zip"
"SCC 5.8 RHEL 8/Oracle Linux 8 x86 64 ","2023-09-27","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel8_oracle-linux8_x86_64_bundle.zip"
"SCC 5.8 Checksums File ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/txt/SCC_5.8_Checksums.txt"
"SCC 5.8 Readme ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/txt/SCC_5.8_Readme.txt"
"SCC 5.8 Raspbian 11 ARMv7 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_raspbian11_armv7l-32_bundle.zip"
"SCC 5.8 RHEL 6 x86 64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel6_x86_64_bundle.zip"
"SCC 5.8 RHEL 7/Oracle Linux 7/SLES12/SLES 15 x86 64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel7_sles12-15_oracle-linux7_x86_64_bundle.zip"
"SCC 5.8 RHEL 6 i686 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel6_i686_bundle.zip"
"SCC 5.8 Release Notes ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/txt/SCC_5.8_ReleaseNotes.txt"
"SCC 5.8 Solaris 11 i386 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_solaris11_i386_bundle.zip"
"SCC 5.8 RHEL 9x86 64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel9_x86_64_bundle.zip"
"SCC 5.8 RPM GPG key ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/RPM-GPG-KEY-scc-5.zip"
"SCC 5.8 Solaris 10 i386 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_solaris10_i386_bundle.zip"
"SCC 5.8 Solaris 10 SPARC ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_solaris10_sparc_bundle.zip"
"SCC 5.8 Solaris 11 SPARC ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_solaris11_sparc_bundle.zip"
"SCC 5.8 Ubuntu 16 AMD64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_ubuntu16_amd64_bundle.zip"
"SCC 5.8 Ubuntu 16 i686 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_ubuntu16_i686_bundle.zip"
"SCC 5.8 Ubuntu 18/20 AMD64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_ubuntu18_ubuntu20_amd64_bundle.zip"
"SCC 5.8 Ubuntu 20/Raspios-bulleye Aarch64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_ubuntu20_raspios-bullseye_arm64_bundle.zip"
"SCC 5.8 Ubuntu 22 AMD64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_ubuntu22_amd64_bundle.zip"
"SCC 5.8 UNIX Remote Scanning Plugin ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/SCC_5.8_UNIX_Remote_Scanning_Plugin.zip"
"SCC 5.8 Windows ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_Windows_bundle.zip"
"SCC 5.8 RHEL 8/Oracle Linux 8 Aarch64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_rhel8_oracle-linux8_aarch64_bundle.zip"
"SCC 5.8 Mac OS X x86 64 ","2023-09-18","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/scc-5.8_macosx10_x86_64_bundle.zip"
"Red Hat OpenShift Container Platform 4.12 STIG - Ver 1, Rel 1 ","2023-09-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RH_OpenShift_Container_Platform_4-12_V1R1_STIG.zip"
"Cloud Computing Draft SRG - V1R0.1 ","2023-09-08","https://dl.dod.cyber.mil/wp-content/uploads/cloud/zip/U_Cloud_Computing_V1R0-2_IDraftSRG.zip"
"Cloud Computing Draft SRG Comment Matrix ","2023-09-08","https://dl.dod.cyber.mil/wp-content/uploads/cloud/xls/U_Cloud_Computing_SRG_Comment_Matrix.xlsx"
"Apple iOS/iPadOS 16 BYOAD STIG - Ver 1, Rel 1 ","2023-09-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apple_iOS-iPadOS_16_BYOAD_Y23M08_STIG.zip"
"Microsoft Windows Server 2022 DNS Draft STIG Comment Matrix ","2023-08-29","https://dl.dod.cyber.mil/wp-content/uploads/stigs/xls/U_MS_Windows_Server_2022_DNS_Comment_Matrix.xlsx"
"Microsoft Windows 11 STIG for Chef - Ver 1, Rel 3 ","2023-08-17","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_11_V1R3_STIG_Chef.zip"
"STIG Viewer 3.1 Hashes ","2023-08-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/txt/U_STIGViewer_3-1-0_Hashes.txt"
"STIG Viewer 3.1-Win64 ","2023-08-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_STIGViewer-win32_x64-3-1-0.zip"
"STIG Viewer 3.1-Linux ","2023-08-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_STIGViewer-linux_x64-3-1-0.zip"
"STIG Viewer 3.1-Win64 msi ","2023-08-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_STIGViewer-win32_x64-3-1-0_msi.zip"
"STIG Viewer 3.x User Guide - Ver 1, Rel 1 ","2023-08-08","https://dl.dod.cyber.mil/wp-content/uploads/stigs/pdf/U_STIG_Viewer_3-x_User_Guide_V1R1.pdf"
"Cloud Service Providers in FedRAMP Process ","2023-08-04","https://marketplace.fedramp.gov/products"
"Microsoft Windows Server 2022 DNS Draft STIG - Ver 1, Rel 0.1 ","2023-08-02","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_Server_2022_DNS_V1R0-1_IDraftSTIG.zip"
"CCI List ","2023-08-01","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CCI_List.zip"
"VMware vSphere 7.0 STIG ","2023-07-24","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vSphere_7-0_Y23M07_STIG.zip"
"Q3 Release Summary ","2023-07-21","https://dl.dod.cyber.mil/wp-content/uploads/stigs/pdf/July-2023-STIGs-to-Be-Released.pdf"
"Solaris 11 X86 STIG - Ver 2, Rel 8 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SOL_11_x86_V2R8_STIG.zip"
"BlackBerry Enterprise Mobility Server (BEMS) 3.x STIG - Ver 1, Rel 2 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_BEMS_3-x_V1R2_STIG.zip"
"Splunk Enterprise 7.x for Windows STIG - Ver 2, Rel 4 ","2023-07-20","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Splunk_Enterprise_7-x_for_Windows_V2R4_STIG.zip"
